,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
121,ADQ049,Speech,Speech MC1,Speech 2,0.008694865714184747,Speech
122,ADQ050,Speech,Speech MC1,Speech 2,0.008054049320994511,Speech
123,ADQ051,Speech,Speech MC1,Speech 2,0.01553051832985988,Speech
124,ADQ052,Speech,Speech MC1,Speech 2,0.008929486216813196,Speech
125,ADQ053,Speech,Speech MC1,Speech 2,0.010298369634586028,Speech
126,ADQ054,Speech,Speech MC1,Speech 2,0.016423044673868986,Speech
127,ADQ055,Speech,Speech MC1,Speech 2,0.010208869881716107,Speech
128,ADQ056,Speech,Speech MC1,Speech 2,0.015796165112162173,Speech
129,ADQ057,Speech,Speech MC1,Speech 2,0.01624734575188362,Speech
130,ADQ058,Speech,Speech MC1,Speech 2,-0.0032068585601937294,Speech
131,ADQ059,Speech,Speech MC1,Speech 2,-0.004379447033436795,Speech
132,ADQ060,Speech,Speech MC1,Speech 2,0.009422785863066508,Speech
133,ADQ061,Speech,Speech MC1,Speech 2,0.005713760680067575,Speech
134,ADQ062,Speech,Speech MC1,Speech 2,0.0029784562937708475,Speech
135,ADQ063,Speech,Speech MC1,Speech 2,0.013538513374084104,Speech
136,ADQ064,Speech,Speech MC1,Speech 2,0.0045813602725803095,Speech
137,ADQ065,Speech,Speech MC1,Speech 2,0.02307752912025026,Speech
138,ADR067,Speech,Speech MC1,Speech 2,0.00969170876738807,Speech
139,ADR068,Speech,Speech MC1,Speech 2,0.016045222881038986,Speech
140,ADR069,Speech,Speech MC1,Speech 2,0.004424833545532111,Speech
141,ADR070,Speech,Speech MC1,Speech 2,0.009236142136295322,Speech
142,ADR071,Speech,Speech MC1,Speech 2,0.0023652753086010232,Speech
143,AEQ077,Speech,Speech MC1,Speech 2,0.006781248564594936,Speech
144,AEQ079,Speech,Speech MC1,Speech 2,0.008519894356862696,Speech
145,AEQ080,Speech,Speech MC1,Speech 2,0.013293730257999792,Speech
146,AEQ081,Speech,Speech MC1,Speech 2,-0.0014397369244335493,Speech
147,AEQ082,Speech,Speech MC1,Speech 2,0.02004869866607912,Speech
148,AEQ083,Speech,Speech MC1,Speech 2,0.021989993288004165,Speech
149,AEQ084,Speech,Speech MC1,Speech 2,-0.005707370854822613,Speech
150,AEQ085,Speech,Speech MC1,Speech 2,-0.004248780766861374,Speech
151,AEQ087,Speech,Speech MC1,Speech 2,0.0055669471438721625,Speech
152,AEQ088,Speech,Speech MC1,Speech 2,0.013617409472629042,Speech
153,AEQ089,Speech,Speech MC1,Speech 2,0.01191751457151499,Speech
154,AER090,Speech,Speech MC1,Speech 2,0.007919317495785696,Speech
155,ADQ001,Speech,Speech MC1,Speech 2,0.012692487535241898,Speech
156,ADQ003,Speech,Speech MC2,Speech 3,-0.021663733410753897,Speech
157,ADQ004,Speech,Speech MC2,Speech 3,0.11243203936778304,Speech
158,ADQ005,Speech,Speech MC2,Speech 3,0.038726208138945464,Speech
159,ADQ006,Speech,Speech MC2,Speech 3,-0.031235849825433405,Speech
160,ADQ007,Speech,Speech MC2,Speech 3,0.015574160051351716,Speech
161,ADQ008,Speech,Speech MC2,Speech 3,0.08689590602984067,Speech
162,ADQ009,Speech,Speech MC2,Speech 3,0.01889555324904256,Speech
163,ADQ010,Speech,Speech MC2,Speech 3,0.08874677599656247,Speech
164,ADQ011,Speech,Speech MC2,Speech 3,0.02471226528318197,Speech
165,ADQ012,Speech,Speech MC2,Speech 3,0.05152811712972194,Speech
166,ADQ013,Speech,Speech MC2,Speech 3,0.06057185779879292,Speech
167,ADQ014,Speech,Speech MC2,Speech 3,0.01900710036974498,Speech
168,ADQ015,Speech,Speech MC2,Speech 3,0.1205449449800733,Speech
169,ADQ016,Speech,Speech MC2,Speech 3,0.12143027142433743,Speech
170,ADQ019,Speech,Speech MC2,Speech 3,0.012209767612238725,Speech
171,ADQ020,Speech,Speech MC2,Speech 3,0.06537212403446657,Speech
172,ADQ021,Speech,Speech MC2,Speech 3,0.042977128329715904,Speech
173,ADQ022,Speech,Speech MC2,Speech 3,0.11193656846984772,Speech
174,ADQ023,Speech,Speech MC2,Speech 3,0.04571509255701561,Speech
175,ADQ024,Speech,Speech MC2,Speech 3,-0.060426888395055334,Speech
176,ADQ025,Speech,Speech MC2,Speech 3,0.06647928201056542,Speech
177,ADQ026,Speech,Speech MC2,Speech 3,-0.01857196421819509,Speech
178,ADQ027,Speech,Speech MC2,Speech 3,0.11740998411265376,Speech
179,ADQ028,Speech,Speech MC2,Speech 3,-0.01157809414744008,Speech
180,ADQ029,Speech,Speech MC2,Speech 3,0.06966783079240803,Speech
181,ADQ030,Speech,Speech MC2,Speech 3,0.0783935341932986,Speech
182,ADQ031,Speech,Speech MC2,Speech 3,0.06981048697186557,Speech
183,ADQ032,Speech,Speech MC2,Speech 3,0.08374574988106422,Speech
184,ADQ033,Speech,Speech MC2,Speech 3,0.09067438051987234,Speech
185,ADQ034,Speech,Speech MC2,Speech 3,-0.0003037932868559574,Speech
186,ADQ035,Speech,Speech MC2,Speech 3,0.022903171879262017,Speech
187,ADQ036,Speech,Speech MC2,Speech 3,0.015640408637998683,Speech
188,ADQ037,Speech,Speech MC2,Speech 3,0.05762560700720119,Speech
189,ADQ038,Speech,Speech MC2,Speech 3,0.06992263637202302,Speech
190,ADQ040,Speech,Speech MC2,Speech 3,0.0013438530106515965,Speech
191,ADQ041,Speech,Speech MC2,Speech 3,0.07535752558890013,Speech
192,ADQ042,Speech,Speech MC2,Speech 3,0.027927024268485874,Speech
193,ADQ043,Speech,Speech MC2,Speech 3,-0.018348770706537475,Speech
194,ADQ044,Speech,Speech MC2,Speech 3,0.026574979466585442,Speech
