,Participant_Code,Event_Type,Event,Event1,Correlations,Sections1
165,ADQ012,Speech,Speech MC2,Speech 3,0.051167082586955924,Speech
166,ADQ013,Speech,Speech MC2,Speech 3,0.06028614083333494,Speech
167,ADQ014,Speech,Speech MC2,Speech 3,0.018811067127900132,Speech
168,ADQ015,Speech,Speech MC2,Speech 3,0.1168532679170605,Speech
169,ADQ016,Speech,Speech MC2,Speech 3,0.11903093109054719,Speech
170,ADQ019,Speech,Speech MC2,Speech 3,0.012178784141442987,Speech
171,ADQ020,Speech,Speech MC2,Speech 3,0.0647041374461627,Speech
172,ADQ021,Speech,Speech MC2,Speech 3,0.04282075119468896,Speech
173,ADQ022,Speech,Speech MC2,Speech 3,0.10970068916879602,Speech
174,ADQ023,Speech,Speech MC2,Speech 3,0.04554924070788815,Speech
175,ADQ024,Speech,Speech MC2,Speech 3,-0.05988578557677076,Speech
176,ADQ025,Speech,Speech MC2,Speech 3,0.06609306749150469,Speech
177,ADQ026,Speech,Speech MC2,Speech 3,-0.018423440868956958,Speech
178,ADQ027,Speech,Speech MC2,Speech 3,0.11533211158965222,Speech
179,ADQ028,Speech,Speech MC2,Speech 3,-0.011288815476801363,Speech
180,ADQ029,Speech,Speech MC2,Speech 3,0.06897334134907661,Speech
181,ADQ030,Speech,Speech MC2,Speech 3,0.07780616610871953,Speech
182,ADQ031,Speech,Speech MC2,Speech 3,0.06926917952557016,Speech
183,ADQ032,Speech,Speech MC2,Speech 3,0.08253218469404186,Speech
184,ADQ033,Speech,Speech MC2,Speech 3,0.08971865934433253,Speech
185,ADQ034,Speech,Speech MC2,Speech 3,-0.00031219339576943935,Speech
186,ADQ035,Speech,Speech MC2,Speech 3,0.022728673084232858,Speech
187,ADQ036,Speech,Speech MC2,Speech 3,0.015581548791112326,Speech
188,ADQ037,Speech,Speech MC2,Speech 3,0.05730939358430019,Speech
189,ADQ038,Speech,Speech MC2,Speech 3,0.06916396864073442,Speech
190,ADQ040,Speech,Speech MC2,Speech 3,0.0012952613246294002,Speech
191,ADQ041,Speech,Speech MC2,Speech 3,0.07471787631403036,Speech
192,ADQ042,Speech,Speech MC2,Speech 3,0.02782878610728828,Speech
193,ADQ043,Speech,Speech MC2,Speech 3,-0.018269567970993373,Speech
194,ADQ044,Speech,Speech MC2,Speech 3,0.026435194134379413,Speech
195,ADQ045,Speech,Speech MC2,Speech 3,0.05873223787510547,Speech
196,ADQ046,Speech,Speech MC2,Speech 3,0.08088740514835638,Speech
197,ADQ047,Speech,Speech MC2,Speech 3,0.017743833204411658,Speech
198,ADQ048,Speech,Speech MC2,Speech 3,0.04041777478299259,Speech
199,ADQ049,Speech,Speech MC2,Speech 3,0.01771944274619176,Speech
200,ADQ050,Speech,Speech MC2,Speech 3,-0.0018326636618250982,Speech
201,ADQ051,Speech,Speech MC2,Speech 3,0.03798158832863257,Speech
202,ADQ052,Speech,Speech MC2,Speech 3,0.020587677162343537,Speech
203,ADQ053,Speech,Speech MC2,Speech 3,0.044773331262683035,Speech
204,ADQ054,Speech,Speech MC2,Speech 3,0.017637181276940684,Speech
205,ADQ055,Speech,Speech MC2,Speech 3,0.10034521806118894,Speech
206,ADQ056,Speech,Speech MC2,Speech 3,0.06261774927183977,Speech
207,ADQ057,Speech,Speech MC2,Speech 3,0.05599864461717281,Speech
208,ADQ058,Speech,Speech MC2,Speech 3,0.03877176426658749,Speech
209,ADQ059,Speech,Speech MC2,Speech 3,0.07289285971477727,Speech
210,ADQ060,Speech,Speech MC2,Speech 3,0.07935375979696523,Speech
211,ADQ061,Speech,Speech MC2,Speech 3,0.13501794562990063,Speech
212,ADQ062,Speech,Speech MC2,Speech 3,0.08239357339510293,Speech
213,ADQ063,Speech,Speech MC2,Speech 3,0.08388235169348784,Speech
214,ADQ064,Speech,Speech MC2,Speech 3,0.0127091297758004,Speech
215,ADQ065,Speech,Speech MC2,Speech 3,0.017943418344684894,Speech
216,ADR067,Speech,Speech MC2,Speech 3,-0.022510778041363325,Speech
217,ADR068,Speech,Speech MC2,Speech 3,0.0695933418294575,Speech
218,ADR069,Speech,Speech MC2,Speech 3,0.035438828799017504,Speech
219,ADR070,Speech,Speech MC2,Speech 3,0.011925040475307864,Speech
220,ADR071,Speech,Speech MC2,Speech 3,0.07031928652091547,Speech
221,AEQ077,Speech,Speech MC2,Speech 3,0.016646154503689618,Speech
222,AEQ078,Speech,Speech MC2,Speech 3,0.015593405958432864,Speech
223,AEQ079,Speech,Speech MC2,Speech 3,-0.008802837130107042,Speech
224,AEQ080,Speech,Speech MC2,Speech 3,0.04366524473221724,Speech
225,AEQ081,Speech,Speech MC2,Speech 3,0.05956877580197042,Speech
226,AEQ082,Speech,Speech MC2,Speech 3,0.06852179118313977,Speech
227,AEQ084,Speech,Speech MC2,Speech 3,0.0010562953705939159,Speech
228,AEQ085,Speech,Speech MC2,Speech 3,-0.0014047101425555956,Speech
229,AEQ087,Speech,Speech MC2,Speech 3,0.09121740274410844,Speech
230,AEQ088,Speech,Speech MC2,Speech 3,0.06688873444782174,Speech
231,AEQ089,Speech,Speech MC2,Speech 3,0.041840602951562285,Speech
232,AER090,Speech,Speech MC2,Speech 3,0.016580728082028096,Speech
233,ADQ001,Speech,Speech MC2,Speech 3,0.07878180889633116,Speech
234,ADQ003,Music,Beethoven 1,Beeth. 1,-0.0011516132848386868,Beethoven
235,ADQ004,Music,Beethoven 1,Beeth. 1,0.00141694643836022,Beethoven
236,ADQ005,Music,Beethoven 1,Beeth. 1,-0.001253033411801587,Beethoven
237,ADQ006,Music,Beethoven 1,Beeth. 1,0.006098260605179363,Beethoven
238,ADQ007,Music,Beethoven 1,Beeth. 1,0.0011753408093537962,Beethoven
239,ADQ008,Music,Beethoven 1,Beeth. 1,0.0003216643739500521,Beethoven
240,ADQ009,Music,Beethoven 1,Beeth. 1,0.003189338639397613,Beethoven
241,ADQ010,Music,Beethoven 1,Beeth. 1,-1.4055169796285678e-05,Beethoven
242,ADQ011,Music,Beethoven 1,Beeth. 1,0.004530046131259678,Beethoven
243,ADQ012,Music,Beethoven 1,Beeth. 1,-0.002985263525002225,Beethoven
244,ADQ013,Music,Beethoven 1,Beeth. 1,0.00735565163651782,Beethoven
245,ADQ014,Music,Beethoven 1,Beeth. 1,0.006392469594976923,Beethoven
246,ADQ015,Music,Beethoven 1,Beeth. 1,0.004077520656852351,Beethoven
247,ADQ016,Music,Beethoven 1,Beeth. 1,0.007319933718775335,Beethoven
248,ADQ018,Music,Beethoven 1,Beeth. 1,0.003889772058625722,Beethoven
249,ADQ019,Music,Beethoven 1,Beeth. 1,0.0006570206553167651,Beethoven
250,ADQ020,Music,Beethoven 1,Beeth. 1,-0.004007649508473936,Beethoven
251,ADQ021,Music,Beethoven 1,Beeth. 1,0.015871290692343894,Beethoven
252,ADQ022,Music,Beethoven 1,Beeth. 1,0.00310937990933291,Beethoven
253,ADQ023,Music,Beethoven 1,Beeth. 1,0.005455027640837538,Beethoven
254,ADQ024,Music,Beethoven 1,Beeth. 1,0.002203598164945943,Beethoven
255,ADQ025,Music,Beethoven 1,Beeth. 1,0.008375792906891293,Beethoven
256,ADQ026,Music,Beethoven 1,Beeth. 1,-0.0022926735714029122,Beethoven
257,ADQ027,Music,Beethoven 1,Beeth. 1,0.01202913269299852,Beethoven
258,ADQ028,Music,Beethoven 1,Beeth. 1,0.010522252676740356,Beethoven
259,ADQ029,Music,Beethoven 1,Beeth. 1,0.004709641369086883,Beethoven
260,ADQ030,Music,Beethoven 1,Beeth. 1,0.007486578242676552,Beethoven
261,ADQ031,Music,Beethoven 1,Beeth. 1,0.0015626983757154628,Beethoven
262,ADQ032,Music,Beethoven 1,Beeth. 1,0.001791145784032779,Beethoven
263,ADQ033,Music,Beethoven 1,Beeth. 1,0.005426931794813797,Beethoven
264,ADQ034,Music,Beethoven 1,Beeth. 1,0.0010147001586001056,Beethoven
265,ADQ035,Music,Beethoven 1,Beeth. 1,0.010588573808530335,Beethoven
