,Participant_Code,Event_Type,Event1,Event2,Correlations_alt,Correlations_true,Sections1,Sections2
57,ADQ047,Speech,Speech 7,Speech 2,0.014251080303113681,0.028443048754124085,Speech,Speech
58,AEQ082,Speech,Speech 7,Speech 2,0.036593767316513065,0.0361711295100801,Speech,Speech
59,AER090,Speech,Speech 7,Speech 2,0.009058755420293852,0.041612206089875634,Speech,Speech
60,ADQ031,Speech,Speech 7,Speech 2,0.024975209037145736,0.0661364310552865,Speech,Speech
61,ADQ015,Speech,Speech 7,Speech 2,0.02344298105599908,0.003791836019399427,Speech,Speech
62,ADQ050,Speech,Speech 7,Speech 2,0.06295031545938064,0.031145659620704404,Speech,Speech
63,ADQ034,Speech,Speech 7,Speech 2,0.02727944814016335,0.039931633948529034,Speech,Speech
64,ADQ023,Speech,Speech 7,Speech 3,-0.03278455995846473,-0.042708516616816114,Speech,Speech
65,ADQ007,Speech,Speech 7,Speech 3,0.027141136445230245,0.03824691426979647,Speech,Speech
66,ADQ030,Speech,Speech 7,Speech 3,-0.002127403935321007,0.012764881976513744,Speech,Speech
67,ADQ006,Speech,Speech 7,Speech 3,0.024842796875188106,0.051762584337600726,Speech,Speech
68,ADQ019,Speech,Speech 7,Speech 3,0.039094820484863374,0.018672314610380592,Speech,Speech
69,ADQ026,Speech,Speech 7,Speech 3,-0.04795640050022178,0.04626198190880407,Speech,Speech
70,ADQ046,Speech,Speech 7,Speech 3,-0.03338499986574207,0.07021697054582185,Speech,Speech
71,ADQ049,Speech,Speech 7,Speech 3,0.012152929746073984,0.033958921903396944,Speech,Speech
72,ADQ057,Speech,Speech 7,Speech 3,0.01030924500245941,-0.02221406826176543,Speech,Speech
73,ADR069,Speech,Speech 7,Speech 3,0.02505811983876872,0.08217929546406072,Speech,Speech
74,ADQ043,Speech,Speech 7,Speech 3,0.048741935349387255,0.035289435093044,Speech,Speech
75,ADQ042,Speech,Speech 7,Speech 3,0.01431469020940384,0.03585925872202241,Speech,Speech
76,ADQ053,Speech,Speech 7,Speech 3,-0.03841842282428005,0.044544672913288855,Speech,Speech
77,ADR070,Speech,Speech 7,Speech 3,0.006897271293894128,0.05049850897962741,Speech,Speech
78,AEQ089,Speech,Speech 7,Speech 3,0.010379605618136846,0.03349036168404639,Speech,Speech
79,ADQ064,Speech,Speech 7,Speech 3,-0.018016173787603375,0.07484593892490558,Speech,Speech
80,ADR068,Speech,Speech 7,Speech 3,-0.035704895411412,0.025121652549303937,Speech,Speech
81,ADQ048,Speech,Speech 7,Speech 3,0.04260826983453411,-0.01602030227461028,Speech,Speech
82,ADQ051,Speech,Speech 7,Speech 3,-0.01905883400600488,0.05367314187153194,Speech,Speech
83,ADQ063,Speech,Speech 7,Speech 3,-0.04531814564177165,-0.04579423677176235,Speech,Speech
84,ADQ041,Speech,Speech 7,Speech 3,-0.01985553514075766,0.031959935662449764,Speech,Speech
85,ADQ005,Speech,Speech 7,Speech 3,0.017364229807906383,0.001331684228666155,Speech,Speech
86,ADQ027,Speech,Speech 7,Speech 3,-0.002232459664937604,0.009793933138269206,Speech,Speech
87,ADQ004,Speech,Speech 7,Speech 3,0.010021519481212705,0.05169385493128051,Speech,Speech
88,ADQ038,Speech,Speech 7,Speech 3,-0.01782096324142585,0.03504532766133221,Speech,Speech
89,AEQ087,Speech,Speech 7,Speech 3,0.008507212602900879,0.03334679869292522,Speech,Speech
90,AEQ079,Speech,Speech 7,Speech 3,0.03088157329791462,0.03738867278625336,Speech,Speech
91,ADQ029,Speech,Speech 7,Speech 3,-0.0018409997618022969,0.05410274444850932,Speech,Speech
